latitude_deg,longitude_deg,part_index
23.18164476,104.90238858,90
23.10390245,104.79912644,90
22.94947146,104.84535238,90
22.69840101,104.37297098,90
22.84586373,104.25006988,90
22.81246250,104.10510961,90
22.51657840,103.97826937,90
22.78704304,103.66156269,90
22.60679245,103.52132938,90
22.80955766,103.31413074,90
22.45502444,103.03523978,90
22.77803614,102.49573547,90
22.40191116,102.14367613,90
21.91057735,102.61287345,90
21.65452376,102.68481408,90
21.84559598,102.82548857,90
21.70840562,102.86784218,90
21.74025671,102.97322199,90
21.25705485,102.82145489,90
20.90750356,103.11137544,90
20.66332187,103.70410538,90
20.87105463,103.82936996,90
20.97334236,104.12086616,90
20.66332187,104.62901494,90
20.47670956,104.37848577,90
20.37715891,104.41223630,90
20.47260596,104.66686217,90
20.24239305,104.62904645,90
20.08572871,104.99812791,90
19.62990025,104.62719308,90
19.68090744,104.06340399,90
19.49302832,104.11510517,90
19.30623204,103.87585179,90
18.63222305,105.20539840,90
18.43824738,105.10794476,90
18.17993042,105.34199888,90
18.19382203,105.49779966,90
17.66757146,105.76200551,90
17.29052957,106.30403006,90
16.96768876,106.54857255,90
16.45355629,106.67639332,90
16.53300486,106.86723304,90
16.30535813,106.96504971,90
16.07535713,107.45816674,90
15.74514450,107.21160822,90
15.49846794,107.38757739,90
15.41536657,107.62707696,90
15.04459488,107.62689545,90
15.00875402,107.47974691,90
14.65183151,107.56304234,90
14.10823055,107.34169431,90
13.52860563,107.61818271,90
13.02258061,107.49144457,90
12.35459660,107.54475352,90
12.25119677,107.42327543,90
12.27894570,107.15414849,90
11.97275509,106.71045535,90
11.97404121,106.41029557,90
11.66316296,106.44571378,90
11.77671347,106.04032923,90
11.61921135,105.81040963,90
11.29306339,105.86738532,90
11.04375448,106.19108791,90
10.78859128,106.19406880,90
10.86505151,105.84872957,90
11.02940283,105.77662759,90
10.85891687,105.33398558,90
10.96377225,105.10084549,90
10.71719659,105.09051928,90
10.52594611,104.86947377,90
10.42471168,104.43585284,90
10.15063843,104.58141114,90
10.23153015,104.73331387,90
9.94958374,105.10439513,90
9.84944856,104.89722547,90
9.66785640,104.84365824,90
8.82160271,104.77653785,90
8.79704838,104.89787086,90
8.61969886,104.71361249,90
8.55620273,104.84656249,90
8.63050650,105.11560875,90
9.11740807,105.56574191,90
9.34117834,106.15478482,90
9.58736466,106.29293826,90
9.58438164,106.54605150,90
10.10649965,106.79412264,90
10.36949549,106.77853248,90
10.46946796,107.00829073,90
10.32727529,107.08670541,90
10.38007187,107.25693304,90
11.33558271,108.98995562,90
11.57300590,109.02209596,90
11.55987871,109.12861291,90
11.85975537,109.18215227,90
11.87127572,109.27797953,90
12.43907534,109.16646933,90
12.40157346,109.34007879,90
12.63321423,109.19214368,90
12.78673185,109.34233765,90
12.65326748,109.34040149,90
12.57076162,109.43269202,90
12.65610118,109.46302527,90
13.42114496,109.22390889,90
13.46920325,109.32727187,90
13.64958058,109.22340468,90
13.88079335,109.30398369,90
15.07856023,108.90186011,90
15.23958786,108.94477844,90
15.97265433,108.29161962,90
16.13687836,108.33145783,90
16.09401897,108.15127347,90
16.21273146,108.19290102,90
16.85864687,107.24063053,90
17.47048857,106.63983449,90
17.77419475,106.46134428,90
17.94191586,106.52521756,90
18.12387372,106.43292702,90
18.41436769,105.97179706,90
18.97950082,105.61528050,90
19.92440437,105.99116879,90
20.20643570,106.58537985,90
20.52867470,106.57491246,90
20.67841788,106.80975314,90
20.79677511,106.76992058,90
20.98049253,107.36488795,90
21.22556786,107.61749698,90
21.27772921,107.53278976,90
21.47044168,107.79699400,90
21.36556281,107.93668185,90
21.57246028,108.04110568,90
21.59407718,107.37422591,90
21.73682837,107.29903817,90
21.83436348,107.00084859,90
21.95693707,106.99933596,90
21.97373360,106.69979510,90
22.45176254,106.56521146,90
22.80374779,106.83729559,90
22.94807855,106.52184944,90
22.86169015,106.34285501,90
22.99908684,106.15895967,90
22.94174527,105.86433990,90
23.30280444,105.40452087,90
