latitude_deg,longitude_deg,part_index
42.22548955,129.26558243,3
42.36566951,129.63939567,3
42.58655916,129.70523778,3
42.68001247,129.91125985,3
42.59293097,130.09391860,3
43.17489023,130.44224458,3
42.87116697,130.95623779,3
43.09842843,131.08792200,3
43.32781383,131.60828703,3
43.70587495,131.76545851,3
43.88853370,131.65288975,3
44.40677479,131.70386428,3
44.99510586,131.39376920,3
45.44325697,132.26246021,3
45.27546580,133.35841268,3
45.60255239,133.44124629,3
46.42239280,134.12727856,3
46.64115851,134.04656888,3
46.83018907,134.24197126,3
46.92789026,134.17400521,3
47.44506938,134.38215122,3
47.68188856,134.79207143,3
48.04402015,134.62534223,3
48.21818313,134.74109690,3
48.34030962,134.39808077,3
48.05145393,133.62178110,3
47.98136395,133.04831760,3
47.66702099,132.63202558,3
47.60648873,131.27164271,3
47.97393016,130.84260706,3
48.11411013,130.97216733,3
48.46137414,130.64826665,3
48.73217635,130.64932862,3
48.67058212,130.31374627,3
49.17607958,129.56665077,3
49.17607958,129.19920934,3
49.43201421,128.72238506,3
49.35236650,128.42184770,3
49.44688178,127.82183497,3
49.74317126,127.48625262,3
50.00122984,127.54890882,3
50.19026040,127.28766433,3
50.50991320,127.26961085,3
50.82850404,126.91066518,3
51.11842169,126.85650474,3
51.71949640,126.35206925,3
51.89790727,126.38392833,3
52.50960167,125.79559726,3
52.84518401,125.26567451,3
53.00341746,124.89398520,3
52.96093868,124.40016941,3
53.34855753,123.43590115,3
53.14572137,120.82451828,3
52.76447434,120.03759892,3
52.63385209,120.03759892,3
52.53933681,120.60628356,3
52.08268995,120.66362991,3
51.60055582,119.87352464,3
50.62566787,119.17687268,3
50.30495310,119.31068083,3
50.02034529,118.52694738,3
49.62316871,117.88764177,3
49.82706685,116.59841087,3
49.47449299,116.29893548,3
48.29570690,115.78069439,3
48.15340300,115.47909507,3
47.81144884,115.67237351,3
47.70525189,115.94636162,3
47.83693610,116.20123429,3
47.84543186,116.96372836,3
47.67126887,117.35878099,3
48.03233848,117.85365875,3
48.00260334,118.36340409,3
47.79658126,118.71385400,3
47.78596157,118.99633788,3
47.23586140,119.64201530,3
46.86204815,119.90750766,3
46.68788516,119.76945163,3
46.58381216,119.20873177,3
46.72611606,118.73934127,3
46.70912455,118.15950595,3
46.38203796,117.27169949,3
46.35655069,116.76195416,3
46.08681045,116.32229881,3
45.60042845,116.01645161,3
45.33281215,115.36440237,3
45.36254729,114.61889982,3
45.01846919,114.16012902,3
44.79333167,113.57604582,3
45.09705493,111.84928350,3
44.41102267,111.39582254,3
43.93419839,111.83866380,3
43.70693692,111.85565532,3
43.29807869,110.91156448,3
42.75647427,110.29562220,3
42.47823827,109.46940997,3
42.44213131,107.26476140,3
41.64565423,104.81798379,3
41.91114659,104.52488022,3
41.84530448,104.15531486,3
